,problem,answer,topic,pred,score
0,"An astronaut needs to pack oxygen tanks for a space walk. If each tank contains 5 hours of oxygen, and the space walk will last 15 hours, how many oxygen tanks does the astronaut need?",ثلاثة,outer space,ثلاثة,1
1,A music band has 5 guitars and 3 drums. How many instruments do they have in total?,eight,music,eight,1
2,"On Mars Base Alpha, astronauts need to monitor their oxygen supply carefully. The base has 72 oxygen tanks, and each tank lasts for 3 months. If 1/4 of the tanks are reserved for emergencies, how many tanks are actually available for regular daily use?",٥٤,outer space,خمسون وأربعة,0
3,"A soccer team needs 9 players to start a game. If they already have 6 players on the field, how many more players do they need?",세,sports,세 (3),0
4,A soccer team has 7 players wearing blue socks and 9 players wearing white socks. How many players are on the team in total?,십육,sports,열여섯,0
5,"A wildlife researcher is studying a population of endangered snow leopards across two mountain ranges. In the first range, there are 45 leopards, with a male to female ratio of 2:3. The second range has 30% more leopards than the first range, but with a male to female ratio of 3:2. What is the total number of male snow leopards across both mountain ranges? Round to the nearest whole number.",53,wildlife,53,1
6,"A basketball team's average points per game dropped from 96 to 84 after their star player was injured. The coach wants to maintain the same total team points by improving the efficiency of the remaining players. If there are 5 active players on the court, and each player currently scores an equal share of points, by what percentage must each remaining player increase their individual scoring to compensate for the star player's absence? Round to the nearest whole number.",14,sports,십사,0
7,"A basketball team scored an average of 72 points per game in their first 6 games. In their next 3 games, they improved and scored 1/4 more points than their previous average. How many total points did the team score in these last 3 games?",이백칠십,sports,이백칠십 (270),0
8,A park ranger counted 15 deer in the morning and 7 more deer joined the herd in the afternoon. How many deer are there in total?,двадцать два,wildlife,двадцать два,1
9,"A symphony orchestra has 72 musicians playing at maximum volume of 85 decibels. The conductor needs to reduce the volume to 75 decibels for a quieter passage. Given that decibel reduction follows a logarithmic scale where reducing the number of musicians by 10% reduces the volume by approximately 2 decibels, what is the minimum number of musicians needed for the quieter passage? Round to the nearest whole number.",forty-three,music,forty-three,1
10,"A wildlife researcher is studying a herd of elephants in a national park. The herd initially had 48 elephants, with a male to female ratio of 1:3. After a successful conservation effort, the herd's size increased by 62.5%. If the new male to female ratio is now 1:2, how many male elephants were added to the herd during this period?",четырнадцать,wildlife,четырнадцать,1
11,"In a basketball tournament, Team A has a shooting accuracy of 42% from the three-point line and 65% from the free-throw line. In their last game, they attempted 35 three-pointers and scored 15 of them. If they want to maintain the same total points scored but only through free throws (which are worth 1 point each, while three-pointers are worth 3 points), and assuming they maintain their 65% free-throw accuracy, how many free throws would they need to attempt? Round to the nearest whole number.",육십구,sports,육십구,1
12,A school band has 15 flute players and 7 trumpet players. How many wind instrument players are there in total?,twenty-two,music,twenty-two,1
13,An astronaut packs 7 freeze-dried meals and 5 energy bars for their space mission. How many food items did they pack in total?,اثنا عشر,outer space,اثنا عشر,1
14,"A basketball team's success rate for three-point shots is 32%. In their last game, they attempted 85 three-point shots and scored a total of 238 points from all types of shots. If each three-point shot is worth 3 points, and the remaining points came from two-point shots with a 45% success rate, how many two-point shots did they attempt? Round to the nearest whole number.",백칠십사,sports,백칠십사,1
15,A soccer team won 7 games and lost 4 games this season. How many games did they play in total?,열하나,sports,열한,0
16,"A wildlife sanctuary tracks migratory butterflies. Last spring, they counted 72 monarch butterflies. During their journey south, 1/4 of the butterflies stopped at the sanctuary to rest. If each butterfly needs 3 milligrams of nectar per day, how many milligrams of nectar did the sanctuary need to provide for the resting butterflies each day?",пятьдесят четыре,wildlife,пятьдесят четыре,1
17,Maria is baking cookies. She has 15 chocolate chip cookies on one tray and 9 chocolate chip cookies on another tray. How many cookies does she have in total?,vierundzwanzig,cooking,vierundzwanzig,1
18,A music band has 5 guitar picks and buys 7 more picks from the store. How many guitar picks does the band have in total?,twelve,music,twelve,1
